env_index,trait,commercialName,media,lower.CL,upper.CL,letra_tukey,rank,periodo
<130,YLD <130,MX8639,125.44864065,119.504398419789,131.392882880211, a   ,1,2023
<130,YLD <130,MY8509,124.32297835,118.378736119789,130.267220580211, ab  ,2,2023
<130,YLD <130,MX8438,123.59089705,117.646654819789,129.535139280211, abc ,3,2023
<130,YLD <130,HIPOPOTAMO,121.2718124,115.327570169789,127.216054630211, abcd,4,2023
<130,YLD <130,MX8436,119.6910686,113.746826369789,125.635310830211, abcd,4,2023
<130,YLD <130,VY8502,117.309504,111.365261769789,123.253746230211, abcd,4,2023
<130,YLD <130,DK5021,117.0905085,111.146266269789,123.034750730211, abcd,4,2023
<130,YLD <130,DK4050,116.6935007,110.749258469789,122.637742930211, abcd,4,2023
<130,YLD <130,VY8503,115.46652992139,109.216092130322,121.716967712459, abcd,4,2023
<130,YLD <130,P3270W,114.9720439,109.027801669789,120.916286130211, abcd,4,2023
<130,YLD <130,MX8432,114.3125515,108.368309269789,120.256793730211,  bcd,5,2023
<130,YLD <130,CALAMAR,113.7085035,107.764261269789,119.652745730211,  bcd,5,2023
<130,YLD <130,VX8614,113.05171975,107.107477519789,118.995961980211,   cd,6,2023
<130,YLD <130,P3274W,112.6611872,106.716944969789,118.605429430211,    d,7,2023
130-160,YLD 130-160,MX8438,153.483481518026,148.99343305613,157.973529979923, a     ,1,2023
130-160,YLD 130-160,MY8509,151.06266135136,146.572612889463,155.552709813256, ab    ,2,2023
130-160,YLD 130-160,MX8639,149.971690545804,145.481642083908,154.461739007701, abc   ,3,2023
130-160,YLD 130-160,MX8436,148.748302490249,144.258254028352,153.238350952145, abcd  ,4,2023
130-160,YLD 130-160,VY8502,146.286884212471,141.796835750574,150.776932674367, abcde ,5,2023
130-160,YLD 130-160,MX8432,145.702229434693,141.212180972796,150.19227789659, abcde ,5,2023
130-160,YLD 130-160,HIPOPOTAMO,145.090381156915,140.600332695019,149.580429618812,  bcde ,6,2023
130-160,YLD 130-160,DK5021,144.12495510136,139.634906639463,148.615003563256,  bcde ,6,2023
130-160,YLD 130-160,CALAMAR,143.822427768026,139.33237930613,148.312476229923,  bcde ,6,2023
130-160,YLD 130-160,DK4050,141.97693410136,137.486885639463,146.466982563256,   cdef,7,2023
130-160,YLD 130-160,P3274W,141.605888795804,137.115840333908,146.095937257701,    def,8,2023
130-160,YLD 130-160,VY8503,140.291997336066,135.764460838324,144.819533833809,     ef,9,2023
130-160,YLD 130-160,P3270W,138.299383629137,133.809335167241,142.789432091034,     ef,9,2023
130-160,YLD 130-160,VX8614,135.625859250189,131.098322752446,140.153395747931,      f,10,2023
>160,YLD >160,MY8509,182.269742999993,170.381258539572,194.158227460414, a ,1,2023
>160,YLD >160,MX8438,182.184810799993,170.296326339572,194.073295260414, a ,1,2023
>160,YLD >160,MX8639,178.521329999993,166.632845539572,190.409814460414, ab,2,2023
>160,YLD >160,MX8436,175.983238199993,164.094753739572,187.871722660414, ab,2,2023
>160,YLD >160,VY8503,173.130677799983,161.242193339562,185.019162260404, ab,2,2023
>160,YLD >160,VY8502,170.887832599993,158.999348139572,182.776317060414, ab,2,2023
>160,YLD >160,HIPOPOTAMO,170.005873599993,158.117389139572,181.894358060414, ab,2,2023
>160,YLD >160,MX8432,169.642696599993,157.754212139572,181.531181060414, ab,2,2023
>160,YLD >160,P3270W,167.452595599993,155.564111139572,179.341080060414, ab,2,2023
>160,YLD >160,CALAMAR,166.687835199993,154.799350739572,178.576319660414, ab,2,2023
>160,YLD >160,DK4050,166.548114999993,154.659630539572,178.436599460414, ab,2,2023
>160,YLD >160,VX8614,165.540204999993,153.651720539572,177.428689460414, ab,2,2023
>160,YLD >160,DK5021,165.351475799993,153.462991339572,177.239960260414, ab,2,2023
>160,YLD >160,P3274W,158.209709799993,146.321225339572,170.098194260414,  b,3,2023
,SDP_FUSASP,CALAMAR,5.52173913043476,1.30669937559216,9.73677888527735, a  ,1,2023
,SDP_FUSASP,VY8502,6.73913043478258,2.52409067993999,10.9541701896252, a  ,1,2023
,SDP_FUSASP,VY8503,7.32608695652171,3.11104720167912,11.5411267113643, a  ,1,2023
,SDP_FUSASP,VX8614,7.67391304347823,3.45887328863564,11.8889527983208, a  ,1,2023
,SDP_FUSASP,MY8509,12.4565217391304,8.24148198428782,16.671561493973, ab ,2,2023
,SDP_FUSASP,MX8639,12.7173913043478,8.50235154950521,16.9324310591904, ab ,2,2023
,SDP_FUSASP,P3270W,15.3695652173913,11.1545254625487,19.5846049722339,  bc,3,2023
,SDP_FUSASP,P3274W,15.5217391304348,11.3066993755922,19.7367788852773,  bc,3,2023
