protocolType,SETS_setName,OBS_observationRefCd,OBS_descriptorAbbreviation,FIELD_name,FIELD_name_1,sub_market,FIELD_plantingSeason,FIELD_pipeline,OBS_numValue,productName,commercialName
FTN,FTNCOMM2,LDSR,SETOTU,CTCER_NAVOLATO_BCHI_FTNC,CTCER_NAVOLATO_BCHI_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,PHYRMA,CTCER_CULIACAN_QULA_FTNC,CTCER_CULIACAN_QULA_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,DIPDMA,RCERVA1_CULIACAN_RECO_FTNC,RCERVA1_CULIACAN_RECO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,SETOTU,RCERVA1_NAVOLATO_VER2_FTNC,RCERVA1_NAVOLATO_VER2_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,CERCZM,RCERVA1_NAVOLATO_ILUC_FTNC,RCERVA1_NAVOLATO_ILUC_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNM1GEOBP,LDSR,TARSC,RCERVA1_CULIACAN_TAMA_FTNGEO,RCERVA1_CULIACAN_TAMA_FTNGEO,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM1,SDP,FUSASP,IIBANA_AHOME_OLAL_FTNC,IIBANA_AHOME_OLAL_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,TARSC,RCERVA1_CULIACAN_QULA_FTNC,RCERVA1_CULIACAN_QULA_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,2.0,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,PUCCSO,RCERVA1_NAVOLATO_VER2_FTNC,RCERVA1_NAVOLATO_VER2_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,4.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,PHYRMA,RCERVA1_NAVOLATO_ILUC_FTNC,RCERVA1_NAVOLATO_ILUC_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,TARSC,IIBANA_AHOME_PORV_FTNC,IIBANA_AHOME_PORV_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,SETOTU,IIBANA_AHOME_PORV_FTNC,IIBANA_AHOME_PORV_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,2.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,CERCZM,RCERVA1_ANGOSTURA_PALM_FTNC,RCERVA1_ANGOSTURA_PALM_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,TARSC,RCERVA1_CULIACAN_CORI_FTNC,RCERVA1_CULIACAN_CORI_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,PUCCSO,MAFELIX_ELFUERTE_POMO_FTNC,MAFELIX_ELFUERTE_POMO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,2.0,DELFIN,DELFIN
FTN,FTNM1GEOBP,YLD,N/A,IIBANA_GUASAVE_LA17_FTNGEO,IIBANA_GUASAVE_LA17_FTNGEO,WHITE HIGH TIER,2021.0,ME1 PACIFIC,106.534466,DELFIN,DELFIN
FTN,FTNCOMM2,SDP,ZZXXFF,IIBANA_AHOME_BAGO_FTNC,IIBANA_AHOME_BAGO_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,TARSC,RCERVA1_CULIACAN_CORI_FTNC,RCERVA1_CULIACAN_CORI_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,YLD,N/A,CTCER_NAVOLATO_BCHI_FTNC,CTCER_NAVOLATO_BCHI_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,150.702663,DELFIN,DELFIN
FTN,FTNPS4COMM,LDSR,DIPDMA,RCERVA1_NAVOLATO_BLED_FTNC,RCERVA1_NAVOLATO_BLED_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
FTN,FTNCOMM2,LDSR,PHYRMA,RCERVA1_CULIACAN_EURE_FTNC,RCERVA1_CULIACAN_EURE_FTNC,WHITE HIGH TIER,2021.0,ME1 PACIFIC,0.0,DELFIN,DELFIN
