protocolTitle,FIELD_plantingSeason,FIELD_pipeline,sub_market,FIELD_Country,FIELD_name,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,30F35VYHR,LDSR,PHYRMA,1.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,AS1822PRO4,YLD,N/A,99.481176,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,DKB255PRO4,LDSR,SETOTU,3.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,NK4015VIP,LDSR,MP,0.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,NK4015VIP,LDSR,CERCZM,1.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,DK7088RR,LDSR,DIPDMC,1.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,30F35VYHR,LDSR,PUCCSO,1.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,DK7088RR,LDSR,COCHHE,0.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,DK7088VT3P,LDSR,CERCZM,5.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,DK7088VT3P,LDSR,MP,0.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,30F35VYHR,LDSR,SETOTU,1.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,NK4015VIP,LDSR,PHYRMA,7.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,30F35VYHR,LDSR,DIPDMC,0.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,30F35VYHR,LDSR,COCHHE,0.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,AS1820PRO4,LDSR,CERCZM,1.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,DKB255PRO4,LDSR,CURVSP,3.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,DK7088RR,YLD,N/A,89.030954,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,AS1822PRO4,LDSR,CURVSP,3.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,AS1820PRO4,YLD,N/A,102.356916,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,DKB255PRO4,LDSR,PUCCSO,3.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,DK7088VT3P,YLD,N/A,97.77892,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,30F35VYHR,LDSR,CURVSP,1.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,DK7088VT3P,LDSR,TARSC,1.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,DK7088RR,LDSR,MP,0.0,
COL 22 SS REG CORN GERMBTECH FTN ME3 VT4P YELLOW,2022.0,ME3 TROPIC,YELLOW BIOTECH,Colombia,GNBVB_FW06_OBANDO_ED_V,AS1820PRO4,LDSR,PHYRMA,2.0,
