protocolTitle,FIELD_plantingSeason,FIELD_pipeline,sub_market,FIELD_Country,FIELD_name,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK8719,LDSR,PHYRMA,0.0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK8719,LDSR,PUCCSO,0.0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK8719,LDSR,CERCZM,0.0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK7088,LDSR,CERCZM,1.0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK7088,LDSR,PUCCSO,0.0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK7088,LDSR,PHYRMA,0.0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK7508,LDSR,CERCZM,3.0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK7508,LDSR,PUCCSO,0.0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK7508,LDSR,PHYRMA,1.0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,MW9792,LDSR,CERCZM,0.0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,MW9792,LDSR,PHYRMA,0.0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,MW9792,LDSR,PUCCSO,0.0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,MW9793,LDSR,PHYRMA,0.0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,MW9793,LDSR,CERCZM,1.0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023.0,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,MW9793,LDSR,PUCCSO,0.0
