protocolTitle,FIELD_plantingSeason,FIELD_pipeline,sub_market,FIELD_Country,FIELD_name,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_MICROSUR_GDGI_FTN_S22,DK7088,YLD,N/A,68.856579
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_TUCUPIDO_RARR_ALLFTN_S22,DK8719,LDSR,PHYRMA,0.0
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_TUCUPIDO_RARR_ALLFTN_S22,DK8719,LDSR,TARSC,0.0
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_MICROSUR_GDGI_FTN_S22,MW9793,EROTP,FUSASP,31.111111
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_MICROSUR_GDGI_FTN_S22,DK7508,EROTP,ZZXXFF,0.0
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_POBLADOII_ATORR_FTN_S22,DK8023,EROTP,GIBBZE,0.0
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_MICROSUR_GDGI_FTN_S22,DK7508,EROTP,USTIMA,0.0
NMU-21-SS-COM-Corn:Germ FTN ME2 ME3 ME4 ME5 VCPEHSG,2021.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_POSC_SACRUZ_DACU_V,DK7508,EROTP,GIBBZE,0.0
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_TUCUPIDO_RARR_ALLFTN_S22,DK7500,LDSR,PHYRMA,0.0
NMU-21-SS-COM-Corn:Germ FTN ME2 ME3 ME4 ME5 VCPEHSG,2021.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_POSC_SACRUZ_DACU_V,DK8719,YLD,N/A,47.176331
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_POBLADOII_ATORR_FTN_S22,DK8719,EROTP,FUSASP,73.333333
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_TUCUPIDO_RARR_ALLFTN_S22,DK8023,LDSR,PUCCSO,0.0
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_MICROSUR_GDGI_FTN_S22,DK8023,EROTP,USTIMA,0.0
NMU-21-SS-COM-Corn:Germ FTN ME2 ME3 ME4 ME5 VCPEHSG,2021.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_POSC_SACRUZ_DACU_V,DK8719,EROTP,DIPDMA,0.0
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_POBLADOII_ATORR_FTN_S22,PAC105,EROTP,DIPDMA,0.0
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_POBLADOII_ATORR_FTN_S22,DK7508,EROTP,ZZXXFF,0.0
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_MICROSUR_GDGI_FTN_S22,DK7088,EROTP,USTIMA,0.0
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_TUCUPIDO_RARR_ALLFTN_S22,DK8719,LDSR,PUCCSO,0.0
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_MICROSUR_GDGI_FTN_S22,DK8719,YLD,N/A,59.264582
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_POBLADOII_ATORR_FTN_S22,DK7508,LDSR,PUCCSO,0.0
NMU 22 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2022.0,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_TUCUPIDO_RARR_ALLFTN_S22,DK7508,LDSR,CERCZM,0.0
