protocolType,SETS_setName,trait,year_loc,FIELD_name,FIELD_name_1,sub_market,FIELD_plantingSeason,FIELD_pipeline,OBS_numValue,productName,commercialName
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,137.287574,DK4050,DK4050
FTN,FTNME1HTW,SDP_ZZXXFF,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,10,DK4050,DK4050
FTN,FTNME1HTW,SDP_ZZXXFF,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,13,DK5021,DK5021
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,145.522682,DK5021,DK5021
FTN,FTNME1HTW,SDP_ZZXXFF,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,10,HIPOPOTAMO,HIPOPOTAMO
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,120.952268,HIPOPOTAMO,HIPOPOTAMO
FTN,FTNME1HTW,SDP_ZZXXFF,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,8,CALAMAR,CALAMAR
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,142.668639,CALAMAR,CALAMAR
FTN,FTNME1HTW,SDP_ZZXXFF,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,9,MX8639,MX8639
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,146.356213,MX8639,MX8639
FTN,FTNME1HTW,SDP_ZZXXFF,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,8,VX8614,VX8614
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,129.242406,VX8614,VX8614
FTN,FTNME1HTW,SDP_ZZXXFF,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,2,VY8502,VY8502
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,134.08284,VY8502,VY8502
FTN,FTNME1HTW,SDP_ZZXXFF,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,3,VY8503,VY8503
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,155.311243,VY8503,VY8503
FTN,FTNME1HTW,SDP_ZZXXFF,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,12,MX8432,MX8432
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,145.993688,MX8432,MX8432
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,151.588363,MX8436,MX8436
FTN,FTNME1HTW,SDP_ZZXXFF,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,20,MX8436,MX8436
FTN,FTNME1HTW,SDP_ZZXXFF,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,22,MX8438,MX8438
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,155.534911,MX8438,MX8438
FTN,FTNME1HTW,SDP_ZZXXFF,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,10,MY8509,MY8509
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,153.681657,MY8509,MY8509
FTN,FTNME1HTW,SDP_ZZXXFF,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,10,P3270W,P3270W
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,126.074556,P3270W,P3270W
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,137.972781,P3274W,P3274W
FTN,FTNME1HTW,SDP_ZZXXFF,2023_IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,IIBANA_AHOME_OLASALTAS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,8,P3274W,P3274W
FTN,FTNME1HTW,YLD,2023_IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,133.12,DK4050,DK4050
FTN,FTNME1HTW,YLD,2023_IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,121.331987,DK5021,DK5021
FTN,FTNME1HTW,YLD,2023_IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,127.717426,HIPOPOTAMO,HIPOPOTAMO
FTN,FTNME1HTW,YLD,2023_IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,93.360351,CALAMAR,CALAMAR
FTN,FTNME1HTW,YLD,2023_IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,129.768363,MX8639,MX8639
FTN,FTNME1HTW,YLD,2023_IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,106.524413,VX8614,VX8614
FTN,FTNME1HTW,YLD,2023_IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,IIBANA_CAJEME_PUEBLOYAQUI_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,113.415897,VY8502,VY8502
