protocolTitle,year_loc,FIELD_plantingSeason,FIELD_pipeline,sub_market,FIELD_Country,FIELD_name,commercialName,trait,OBS_numValue,QC_Flag
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,AS1820PRO4,LDSR_CERCZM,1,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,AS1820PRO4,LDSR_PUCCSO,1,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,AS1820PRO4,LDSR_DIPDMA,1,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,AS1820PRO4,LDSR_TARSC,1,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,AS1820PRO4,LDSR_CURVSP,4,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,AS1822PRO4,LDSR_DIPDMA,1,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,AS1822PRO4,LDSR_CERCZM,2,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,AS1822PRO4,LDSR_PUCCSO,1,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,AS1822PRO4,LDSR_CURVSP,3,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,AS1822PRO4,LDSR_TARSC,1,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,DK7088VT3P,LDSR_CERCZM,1,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,DK7088VT3P,LDSR_PUCCSO,1,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,DK7088VT3P,LDSR_CURVSP,5,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,DK7088VT3P,LDSR_TARSC,1,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,DK7088VT3P,LDSR_DIPDMA,2,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,DK7500VT3P,LDSR_DIPDMA,1,
COL 23 SS REG CORN GERM ME3 FTN VT4P YELLOW,2023_GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,2023,ME3 TROPIC,YELLOW BIOTECH,Colombia,GOYDM_DF01_LAESPERANZA_LULO_FTNY_W23,DK7500VT3P,LDSR_TARSC,1,
