protocolTitle,year_loc,FIELD_plantingSeason,FIELD_pipeline,sub_market,FIELD_Country,FIELD_name,commercialName,trait,OBS_numValue
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_HUAC,2023,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK8719,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_HUAC,2023,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK8719,LDSR_CERCZM,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_HUAC,2023,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK7088,LDSR_CERCZM,1
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_HUAC,2023,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK7088,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_HUAC,2023,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,MW9792,LDSR_CERCZM,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_HUAC,2023,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,MW9792,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_HUAC,2023,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,MW9793,LDSR_CERCZM,1
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_HUAC,2023,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,MW9793,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_HUAC,2023,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK8023,LDSR_CERCZM,1
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_HUAC,2023,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,DK8023,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_HUAC,2023,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,EMBLEMA777,LDSR_PUCCSO,1
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_HUAC,2023,ME3 TROPIC,YELLOW HIGH TIER,Peru,HUAC,EMBLEMA777,LDSR_CERCZM,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,DK7088,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,DK7088,LDSR_CERCZM,2
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,DK7088,YLD,59.773516
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,DK8719,LDSR_CERCZM,2
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,DK8719,YLD,60.056621
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,DK8719,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,MW9793,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,MW9793,LDSR_CERCZM,2
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,MW9793,YLD,45.074985
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,DK8023,LDSR_CERCZM,2
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,DK8023,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_SANTAROSA_VEN01_FTNY_S23,DK8023,YLD,52.985615
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_MIRI_VEN11_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_MIRI_VEN11_FTNY_S23,DK7088,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_MIRI_VEN11_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_MIRI_VEN11_FTNY_S23,DK7088,YLD,43.836811
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_MIRI_VEN11_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_MIRI_VEN11_FTNY_S23,DK7088,LDSR_CERCZM,3
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_MIRI_VEN11_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_MIRI_VEN11_FTNY_S23,DK8719,LDSR_CERCZM,2
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_MIRI_VEN11_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_MIRI_VEN11_FTNY_S23,DK8719,YLD,39.453716
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_MIRI_VEN11_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_MIRI_VEN11_FTNY_S23,DK8719,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_MIRI_VEN11_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_MIRI_VEN11_FTNY_S23,MW9793,LDSR_CERCZM,2
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_MIRI_VEN11_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_MIRI_VEN11_FTNY_S23,MW9793,YLD,36.137176
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_MIRI_VEN11_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_MIRI_VEN11_FTNY_S23,MW9793,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_MIRI_VEN11_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_MIRI_VEN11_FTNY_S23,DK8023,YLD,34.28069
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_MIRI_VEN11_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_MIRI_VEN11_FTNY_S23,DK8023,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_BARINAS_MIRI_VEN11_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_BARINAS_MIRI_VEN11_FTNY_S23,DK8023,LDSR_CERCZM,3
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,DK8719,YLD,36.567955
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,DK8719,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,DK8719,LDSR_CERCZM,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,MW9793,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,MW9793,YLD,49.481221
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,MW9793,LDSR_CERCZM,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,DK7088,YLD,22.402032
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,DK7088,LDSR_CERCZM,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_ZARAZA_VEN07_FTNY_S23,DK7088,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,DK7088,LDSR_CERCZM,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,DK7088,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,DK7088,YLD,51.252391
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,DK8719,LDSR_CERCZM,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,DK8719,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,DK8719,YLD,79.406772
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,MW9793,YLD,62.533553
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,MW9793,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_TUCUPIDO_VEN03_FTNY_S23,MW9793,LDSR_CERCZM,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_LASMERCEDES_VEN12_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_LASMERCEDES_VEN12_FTNY_S23,MW9793,LDSR_PUCCSO,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_LASMERCEDES_VEN12_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_LASMERCEDES_VEN12_FTNY_S23,MW9793,LDSR_CERCZM,0
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_LASMERCEDES_VEN12_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_LASMERCEDES_VEN12_FTNY_S23,MW9793,YLD,38.254199
NMU 23 SS CON CORN GERM FTN ME3 HIGH TIER YELLOW,2023_FALMA_GUARICO_LASMERCEDES_VEN12_FTNY_S23,2023,ME3 TROPIC,YELLOW HIGH TIER,Venezuela,FALMA_GUARICO_LASMERCEDES_VEN12_FTNY_S23,DK7088,YLD,38.11573
